Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS1_Profile,,,,2023-09-05 04:07:37,2023-09-05 04:09:24,1m - 47.219s,FAILED
,,,,,,,
Test Cases/TC_Profile/TC1_Access-Profile-Page,,,,2023-09-05 04:07:37,2023-09-05 04:08:18,40.640s,PASSED
"callTestCase(findTestCase(""Reusable-Test/TC0_Launch-Exist-App""), [:], STOP_ON_FAILURE)",,,,2023-09-05 04:07:38,2023-09-05 04:08:04,25.602s,PASSED
"verifyElementVisible(findTestObject(""Profile/icon_navbar-profile""), 0)",,,,2023-09-05 04:08:04,2023-09-05 04:08:08,4.315s,PASSED
"tap(findTestObject(""Profile/btn_profile-navbar""), 0)",,,,2023-09-05 04:08:08,2023-09-05 04:08:09,0.794s,PASSED
"extractedTitleProfile = getText(findTestObject(""Profile/txt_title-page_profile""), 0)",,Get displayed txt on the dialog,,2023-09-05 04:08:09,2023-09-05 04:08:10,1.162s,PASSED
"verifyEqual(extractedTitleProfile, ""Profile"")",,Verify if displayed txt is correct,,2023-09-05 04:08:10,2023-09-05 04:08:10,0.029s,PASSED
"verifyElementVisible(findTestObject(""Profile/btn_cart-profile""), 0)",,,,2023-09-05 04:08:10,2023-09-05 04:08:10,0.274s,PASSED
"verifyElementVisible(findTestObject(""Profile/txt_name-profile""), 0)",,,,2023-09-05 04:08:10,2023-09-05 04:08:11,0.303s,PASSED
"verifyElementVisible(findTestObject(""Profile/txt_email-profile""), 0)",,,,2023-09-05 04:08:11,2023-09-05 04:08:11,0.276s,PASSED
"verifyElementVisible(findTestObject(""Profile/txt_phone-number-profile""), 0)",,,,2023-09-05 04:08:11,2023-09-05 04:08:11,0.296s,PASSED
"verifyElementVisible(findTestObject(""Profile/txt_address-profile""), 0)",,,,2023-09-05 04:08:11,2023-09-05 04:08:11,0.237s,PASSED
"verifyElementVisible(findTestObject(""Profile/btn_edit-profile""), 0)",,,,2023-09-05 04:08:11,2023-09-05 04:08:12,0.374s,PASSED
