Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS2_Cart,,,,2023-09-08 09:58:59,2023-09-08 10:00:13,1m - 14.017s,FAILED
,,,,,,,
Test Cases/TC_Cart/TC1_Access-Empty-Cart,,,,2023-09-08 09:58:59,2023-09-08 09:59:16,16.517s,PASSED
"callTestCase(findTestCase(""Reusable-Test/TC0_Launch-Exist-App""), [:], STOP_ON_FAILURE)",,,,2023-09-08 09:59:00,2023-09-08 09:59:13,13.619s,PASSED
"tap(findTestObject(""Cart/btn_cart_home""), 0)",,,,2023-09-08 09:59:13,2023-09-08 09:59:14,0.782s,PASSED
"verifyElementExist(findTestObject(""Cart/Empty Cart/txt_empty-cart_cart""), 10)",,,,2023-09-08 09:59:14,2023-09-08 09:59:15,0.783s,PASSED
"verifyElementExist(findTestObject(""Cart/Empty Cart/icon_shopping-bag_cart""), 10)",,,,2023-09-08 09:59:15,2023-09-08 09:59:15,0.122s,PASSED
"extractedContinueShopping = getText(findTestObject(""Cart/Empty Cart/btn_continue-shopping_cart""), 0)",,,,2023-09-08 09:59:15,2023-09-08 09:59:15,0.232s,PASSED
"verifyEqual(extractedContinueShopping, ""CONTINUE SHOPPING"")",,,,2023-09-08 09:59:15,2023-09-08 09:59:15,0.011s,PASSED
"verifyElementExist(findTestObject(""Cart/Empty Cart/btn_continue-shopping_cart""), 10)",,,,2023-09-08 09:59:15,2023-09-08 09:59:15,0.158s,PASSED
"tap(findTestObject(""Cart/btn_continue-shopping_cart""), 0)",,,,2023-09-08 09:59:15,2023-09-08 09:59:16,0.395s,PASSED
,,,,,,,
Test Cases/TC_Cart/TC2_Order-Product,,,,2023-09-08 09:59:16,2023-09-08 09:59:35,19.209s,PASSED
"callTestCase(findTestCase(""TC_Cart/TC1_Access-Empty-Cart""), [:], STOP_ON_FAILURE)",,,,2023-09-08 09:59:16,2023-09-08 09:59:25,9.132s,PASSED
"tap(findTestObject(""Home Shopping/btn_samsung-galaxy_home-shopping""), 0)",,,,2023-09-08 09:59:25,2023-09-08 09:59:28,2.892s,PASSED
"verifyElementVisible(findTestObject(""Home Shopping/Samsung Galaxy S10/txt_product-title-samsung-s10_home-shopping""), 0)",,,,2023-09-08 09:59:28,2023-09-08 09:59:29,0.676s,PASSED
"verifyElementVisible(findTestObject(""Home Shopping/Samsung Galaxy S10/txt_product-price-samsung-899usd-cart""), 0)",,,,2023-09-08 09:59:29,2023-09-08 09:59:29,0.163s,PASSED
"verifyElementVisible(findTestObject(""Home Shopping/Samsung Galaxy S10/txt_product-stock-samsung-5items-cart""), 0)",,,,2023-09-08 09:59:29,2023-09-08 09:59:29,0.161s,PASSED
