Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS1_Profile,,,,2023-09-06 05:49:39,2023-09-06 05:54:28,4m - 48.706s,PASSED
,,,,,,,
Test Cases/TC_Profile/TC1_Access-Profile-Page,,,,2023-09-06 05:49:39,2023-09-06 05:51:29,1m - 49.819s,PASSED
"callTestCase(findTestCase(""Reusable-Test/TC0_Launch-Exist-App""), [:], STOP_ON_FAILURE)",,,,2023-09-06 05:49:40,2023-09-06 05:50:23,43.163s,PASSED
"verifyElementVisible(findTestObject(""Profile/icon_navbar-profile""), 0)",,,,2023-09-06 05:50:23,2023-09-06 05:50:53,30.208s,PASSED
"tap(findTestObject(""Profile/btn_profile-navbar""), 0)",,,,2023-09-06 05:50:53,2023-09-06 05:51:24,30.241s,PASSED
"extractedTitleProfile = getText(findTestObject(""Profile/txt_title-page_profile""), 0)",,Get displayed txt on the dialog,,2023-09-06 05:51:24,2023-09-06 05:51:25,1.083s,PASSED
"verifyEqual(extractedTitleProfile, ""Profile"")",,Verify if displayed txt is correct,,2023-09-06 05:51:25,2023-09-06 05:51:25,0.024s,PASSED
"verifyElementVisible(findTestObject(""Profile/btn_cart-profile""), 0)",,,,2023-09-06 05:51:25,2023-09-06 05:51:25,0.172s,PASSED
"verifyElementVisible(findTestObject(""Profile/txt_name-profile""), 0)",,,,2023-09-06 05:51:25,2023-09-06 05:51:25,0.171s,PASSED
"verifyElementVisible(findTestObject(""Profile/txt_email-profile""), 0)",,,,2023-09-06 05:51:25,2023-09-06 05:51:25,0.191s,PASSED
"verifyElementVisible(findTestObject(""Profile/txt_phone-number-profile""), 0)",,,,2023-09-06 05:51:25,2023-09-06 05:51:25,0.191s,PASSED
"verifyElementVisible(findTestObject(""Profile/txt_address-profile""), 0)",,,,2023-09-06 05:51:25,2023-09-06 05:51:26,0.162s,PASSED
"verifyElementVisible(findTestObject(""Profile/btn_edit-profile""), 0)",,,,2023-09-06 05:51:26,2023-09-06 05:51:26,0.201s,PASSED
"verifyElementVisible(findTestObject(""Profile/icon_order-history-profile""), 0)",,,,2023-09-06 05:51:26,2023-09-06 05:51:27,1.066s,PASSED
"verifyElementVisible(findTestObject(""Profile/txt_order-history-profile""), 0)",,,,2023-09-06 05:51:27,2023-09-06 05:51:27,0.230s,PASSED
"verifyElementVisible(findTestObject(""Profile/btn_order-history-profile""), 0)",,,,2023-09-06 05:51:27,2023-09-06 05:51:27,0.230s,PASSED
"verifyElementVisible(findTestObject(""Profile/icon_rate-us-profile""), 0)",,,,2023-09-06 05:51:27,2023-09-06 05:51:27,0.188s,PASSED
"verifyElementVisible(findTestObject(""Profile/txt_rate-us-profile""), 0)",,,,2023-09-06 05:51:27,2023-09-06 05:51:28,0.180s,PASSED
"verifyElementVisible(findTestObject(""Profile/btn_rate-us-profile""), 0)",,,,2023-09-06 05:51:28,2023-09-06 05:51:28,0.210s,PASSED
"verifyElementVisible(findTestObject(""Profile/icon_share-profile""), 0)",,,,2023-09-06 05:51:28,2023-09-06 05:51:28,0.275s,PASSED
"verifyElementVisible(findTestObject(""Profile/txt_share-profile""), 0)",,,,2023-09-06 05:51:28,2023-09-06 05:51:28,0.285s,PASSED
"verifyElementVisible(findTestObject(""Profile/btn_share-profile""), 0)",,,,2023-09-06 05:51:28,2023-09-06 05:51:29,0.246s,PASSED
"verifyElementVisible(findTestObject(""Profile/icon_privacy-policy-profile""), 0)",,,,2023-09-06 05:51:29,2023-09-06 05:51:29,0.206s,PASSED
"verifyElementVisible(findTestObject(""Profile/txt_privacy-policy-profile""), 0)",,,,2023-09-06 05:51:29,2023-09-06 05:51:29,0.186s,PASSED
"verifyElementVisible(findTestObject(""Profile/btn_privacy-policy-profile""), 0)",,,,2023-09-06 05:51:29,2023-09-06 05:51:29,0.146s,PASSED
,,,,,,,
Test Cases/TC_Profile/TC2_Access-Edit-Profile-Page,,,,2023-09-06 05:51:29,2023-09-06 05:52:49,1m - 19.957s,PASSED
