Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS2_Cart,,,,2023-09-08 09:39:45,2023-09-08 09:41:24,1m - 38.971s,FAILED
,,,,,,,
Test Cases/TC_Cart/TC1_Access-Empty-Cart,,,,2023-09-08 09:39:46,2023-09-08 09:40:14,28.398s,PASSED
"callTestCase(findTestCase(""Reusable-Test/TC0_Launch-Exist-App""), [:], STOP_ON_FAILURE)",,,,2023-09-08 09:39:46,2023-09-08 09:40:10,24.313s,PASSED
"tap(findTestObject(""Cart/btn_cart_home""), 0)",,,,2023-09-08 09:40:10,2023-09-08 09:40:11,0.918s,PASSED
"verifyElementExist(findTestObject(""Cart/Empty Cart/txt_empty-cart_cart""), 10)",,,,2023-09-08 09:40:11,2023-09-08 09:40:12,0.951s,PASSED
"verifyElementExist(findTestObject(""Cart/Empty Cart/icon_shopping-bag_cart""), 10)",,,,2023-09-08 09:40:12,2023-09-08 09:40:13,0.274s,PASSED
"extractedContinueShopping = getText(findTestObject(""Cart/Empty Cart/btn_continue-shopping_cart""), 0)",,,,2023-09-08 09:40:13,2023-09-08 09:40:13,0.370s,PASSED
"verifyEqual(extractedContinueShopping, ""CONTINUE SHOPPING"")",,,,2023-09-08 09:40:13,2023-09-08 09:40:13,0.024s,PASSED
"verifyElementExist(findTestObject(""Cart/Empty Cart/btn_continue-shopping_cart""), 10)",,,,2023-09-08 09:40:13,2023-09-08 09:40:13,0.251s,PASSED
"tap(findTestObject(""Cart/btn_continue-shopping_cart""), 0)",,,,2023-09-08 09:40:13,2023-09-08 09:40:14,0.808s,PASSED
,,,,,,,
Test Cases/TC_Cart/TC2_Order-Product,,,,2023-09-08 09:40:14,2023-09-08 09:40:41,26.832s,PASSED
"callTestCase(findTestCase(""TC_Cart/TC1_Access-Empty-Cart""), [:], STOP_ON_FAILURE)",,,,2023-09-08 09:40:15,2023-09-08 09:40:29,14.535s,PASSED
"tap(findTestObject(""Home Shopping/btn_samsung-galaxy_home-shopping""), 0)",,,,2023-09-08 09:40:29,2023-09-08 09:40:32,2.953s,PASSED
"verifyElementVisible(findTestObject(""Home Shopping/Samsung Galaxy S10/txt_product-title-samsung-s10_home-shopping""), 0)",,,,2023-09-08 09:40:32,2023-09-08 09:40:33,0.848s,PASSED
"verifyElementVisible(findTestObject(""Home Shopping/Samsung Galaxy S10/txt_product-price-samsung-899usd-cart""), 0)",,,,2023-09-08 09:40:33,2023-09-08 09:40:33,0.239s,PASSED
"verifyElementVisible(findTestObject(""Home Shopping/Samsung Galaxy S10/txt_product-stock-samsung-5items-cart""), 0)",,,,2023-09-08 09:40:33,2023-09-08 09:40:33,0.216s,PASSED
"tap(findTestObject(""Home Shopping/Samsung Galaxy S10/btn_product-add-cart_home-shopping""), 0)",,,,2023-09-08 09:40:33,2023-09-08 09:40:34,0.405s,PASSED
"verifyElementVisible(findTestObject(""Home Shopping/Samsung Galaxy S10/card_product-order-samsung-s10-home_shopping""), 0)",,,,2023-09-08 09:40:34,2023-09-08 09:40:35,1.068s,PASSED
"setText(findTestObject(""Home Shopping/Samsung Galaxy S10/input_product-order-samsung-s10-home_shopping""), ""5"", 0)",,,,2023-09-08 09:40:35,2023-09-08 09:40:36,0.869s,PASSED
"tap(findTestObject(""Home Shopping/Samsung Galaxy S10/btn_product-add-order-samsung-s10_home-shopping""), 0)",,,,2023-09-08 09:40:36,2023-09-08 09:40:36,0.646s,PASSED
"tap(findTestObject(""Home Shopping/Samsung Galaxy S10/btn_product-cart-home_shopping""), 0)",,,,2023-09-08 09:40:36,2023-09-08 09:40:37,0.784s,PASSED
