Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS2_Cart,,,,2023-09-08 11:20:27,2023-09-08 11:21:53,1m - 26.960s,FAILED
,,,,,,,
Test Cases/TC_Cart/TC1_Access-Empty-Cart,,,,2023-09-08 11:20:27,2023-09-08 11:20:46,18.944s,PASSED
"callTestCase(findTestCase(""Reusable-Test/TC0_Launch-Exist-App""), [:], STOP_ON_FAILURE)",,,,2023-09-08 11:20:27,2023-09-08 11:20:43,15.949s,PASSED
"tap(findTestObject(""Cart/btn_cart_home""), 0)",,,,2023-09-08 11:20:43,2023-09-08 11:20:44,0.784s,PASSED
"verifyElementExist(findTestObject(""Cart/Empty Cart/txt_empty-cart_cart""), 10)",,,,2023-09-08 11:20:44,2023-09-08 11:20:45,0.961s,PASSED
"verifyElementExist(findTestObject(""Cart/Empty Cart/icon_shopping-bag_cart""), 10)",,,,2023-09-08 11:20:45,2023-09-08 11:20:45,0.124s,PASSED
"extractedContinueShopping = getText(findTestObject(""Cart/Empty Cart/btn_continue-shopping_cart""), 0)",,,,2023-09-08 11:20:45,2023-09-08 11:20:45,0.163s,PASSED
"verifyEqual(extractedContinueShopping, ""CONTINUE SHOPPING"")",,,,2023-09-08 11:20:45,2023-09-08 11:20:45,0.012s,PASSED
"verifyElementExist(findTestObject(""Cart/Empty Cart/btn_continue-shopping_cart""), 10)",,,,2023-09-08 11:20:45,2023-09-08 11:20:45,0.151s,PASSED
"tap(findTestObject(""Cart/btn_continue-shopping_cart""), 0)",,,,2023-09-08 11:20:45,2023-09-08 11:20:46,0.513s,PASSED
,,,,,,,
Test Cases/TC_Cart/TC2_Order-Product,,,,2023-09-08 11:20:46,2023-09-08 11:21:22,36.728s,PASSED
"callTestCase(findTestCase(""TC_Cart/TC1_Access-Empty-Cart""), [:], STOP_ON_FAILURE)",,,,2023-09-08 11:20:46,2023-09-08 11:20:56,9.691s,PASSED
"tap(findTestObject(""Home Shopping/btn_samsung-galaxy_home-shopping""), 0)",,,,2023-09-08 11:20:56,2023-09-08 11:20:57,1.628s,PASSED
"verifyElementVisible(findTestObject(""Home Shopping/Samsung Galaxy S10/txt_product-title-samsung-s10_home-shopping""), 0)",,,,2023-09-08 11:20:57,2023-09-08 11:20:59,1.668s,PASSED
"verifyElementVisible(findTestObject(""Home Shopping/Samsung Galaxy S10/txt_product-price-samsung-899usd-cart""), 0)",,,,2023-09-08 11:20:59,2023-09-08 11:20:59,0.129s,PASSED
"verifyElementVisible(findTestObject(""Home Shopping/Samsung Galaxy S10/txt_product-stock-samsung-5items-cart""), 0)",,,,2023-09-08 11:20:59,2023-09-08 11:20:59,0.152s,PASSED
"tap(findTestObject(""Home Shopping/Samsung Galaxy S10/btn_product-add-cart_home-shopping""), 0)",,,,2023-09-08 11:20:59,2023-09-08 11:20:59,0.198s,PASSED
"verifyElementVisible(findTestObject(""Home Shopping/Samsung Galaxy S10/card_product-order-samsung-s10-home_shopping""), 0)",,,,2023-09-08 11:20:59,2023-09-08 11:21:01,1.465s,PASSED
"setText(findTestObject(""Home Shopping/Samsung Galaxy S10/input_product-order-samsung-s10-home_shopping""), ""5"", 0)",,,,2023-09-08 11:21:01,2023-09-08 11:21:02,0.740s,PASSED
