Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS1_Profile,,,,2023-09-08 12:47:38,2023-09-08 12:49:15,1m - 37.391s,PASSED
,,,,,,,
Test Cases/TC_Profile/TC1_Access-Profile-Page,,,,2023-09-08 12:47:38,2023-09-08 12:48:08,29.837s,PASSED
"callTestCase(findTestCase(""Reusable-Test/TC0_Launch-Exist-App""), [:], STOP_ON_FAILURE)",,,,2023-09-08 12:47:39,2023-09-08 12:47:59,20.041s,PASSED
"verifyElementVisible(findTestObject(""Profile/icon_navbar-profile""), 0)",,,,2023-09-08 12:47:59,2023-09-08 12:48:00,0.952s,PASSED
"tap(findTestObject(""Profile/btn_profile-navbar""), 0)",,,,2023-09-08 12:48:00,2023-09-08 12:48:01,1.373s,PASSED
"extractedTitleProfile = getText(findTestObject(""Profile/txt_title-page_profile""), 0)",,Get displayed txt on the dialog,,2023-09-08 12:48:01,2023-09-08 12:48:01,0.440s,PASSED
"verifyEqual(extractedTitleProfile, ""Profile"")",,Verify if displayed txt is correct,,2023-09-08 12:48:01,2023-09-08 12:48:01,0.035s,PASSED
"verifyElementVisible(findTestObject(""Profile/btn_cart-profile""), 0)",,,,2023-09-08 12:48:01,2023-09-08 12:48:02,0.365s,PASSED
"verifyElementVisible(findTestObject(""Profile/txt_name-profile""), 0)",,,,2023-09-08 12:48:02,2023-09-08 12:48:02,0.379s,PASSED
"verifyElementVisible(findTestObject(""Profile/txt_email-profile""), 0)",,,,2023-09-08 12:48:02,2023-09-08 12:48:03,0.327s,PASSED
"verifyElementVisible(findTestObject(""Profile/txt_phone-number-profile""), 0)",,,,2023-09-08 12:48:03,2023-09-08 12:48:03,0.328s,PASSED
"verifyElementVisible(findTestObject(""Profile/txt_address-profile""), 0)",,,,2023-09-08 12:48:03,2023-09-08 12:48:03,0.328s,PASSED
"verifyElementVisible(findTestObject(""Profile/btn_edit-profile""), 0)",,,,2023-09-08 12:48:03,2023-09-08 12:48:04,0.358s,PASSED
"verifyElementVisible(findTestObject(""Profile/icon_order-history-profile""), 0)",,,,2023-09-08 12:48:04,2023-09-08 12:48:04,0.661s,PASSED
"verifyElementVisible(findTestObject(""Profile/txt_order-history-profile""), 0)",,,,2023-09-08 12:48:04,2023-09-08 12:48:05,0.359s,PASSED
"verifyElementVisible(findTestObject(""Profile/btn_order-history-profile""), 0)",,,,2023-09-08 12:48:05,2023-09-08 12:48:05,0.321s,PASSED
"verifyElementVisible(findTestObject(""Profile/icon_rate-us-profile""), 0)",,,,2023-09-08 12:48:05,2023-09-08 12:48:05,0.306s,PASSED
"verifyElementVisible(findTestObject(""Profile/txt_rate-us-profile""), 0)",,,,2023-09-08 12:48:05,2023-09-08 12:48:06,0.288s,PASSED
"verifyElementVisible(findTestObject(""Profile/btn_rate-us-profile""), 0)",,,,2023-09-08 12:48:06,2023-09-08 12:48:06,0.325s,PASSED
"verifyElementVisible(findTestObject(""Profile/icon_share-profile""), 0)",,,,2023-09-08 12:48:06,2023-09-08 12:48:06,0.398s,PASSED
"verifyElementVisible(findTestObject(""Profile/txt_share-profile""), 0)",,,,2023-09-08 12:48:06,2023-09-08 12:48:07,0.294s,PASSED
"verifyElementVisible(findTestObject(""Profile/btn_share-profile""), 0)",,,,2023-09-08 12:48:07,2023-09-08 12:48:07,0.318s,PASSED
"verifyElementVisible(findTestObject(""Profile/icon_privacy-policy-profile""), 0)",,,,2023-09-08 12:48:07,2023-09-08 12:48:07,0.386s,PASSED
"verifyElementVisible(findTestObject(""Profile/txt_privacy-policy-profile""), 0)",,,,2023-09-08 12:48:07,2023-09-08 12:48:08,0.399s,PASSED
"verifyElementVisible(findTestObject(""Profile/btn_privacy-policy-profile""), 0)",,,,2023-09-08 12:48:08,2023-09-08 12:48:08,0.357s,PASSED
,,,,,,,
Test Cases/TC_Profile/TC2_Access-Edit-Profile-Page,,,,2023-09-08 12:48:08,2023-09-08 12:48:31,23.239s,PASSED
"callTestCase(findTestCase(""TC_Profile/TC1_Access-Profile-Page""), [:], STOP_ON_FAILURE)",,,,2023-09-08 12:48:09,2023-09-08 12:48:28,19.055s,PASSED
"tap(findTestObject(""Profile/btn_edit-profile""), 0)",,,,2023-09-08 12:48:28,2023-09-08 12:48:28,0.403s,PASSED
"extractedTitleUserProfile = getText(findTestObject(""Profile/Edit Profile/txt_title-user_profile-edit_profile""), 0)",,Get displayed txt on the dialog,,2023-09-08 12:48:28,2023-09-08 12:48:29,1.261s,PASSED
"verifyEqual(extractedTitleUserProfile, ""User Profile"")",,Verify if displayed txt is correct,,2023-09-08 12:48:29,2023-09-08 12:48:29,0.005s,PASSED
"verifyElementVisible(findTestObject(""Profile/Edit Profile/txt_title-form-edit_profile""), 0)",,,,2023-09-08 12:48:29,2023-09-08 12:48:30,0.292s,PASSED
"verifyElementVisible(findTestObject(""Profile/Edit Profile/txt_title-name-section-edit_profile""), 0)",,,,2023-09-08 12:48:30,2023-09-08 12:48:30,0.204s,PASSED
"verifyElementVisible(findTestObject(""Profile/Edit Profile/txt_title-email-section-edit_profile""), 0)",,,,2023-09-08 12:48:30,2023-09-08 12:48:30,0.266s,PASSED
"verifyElementVisible(findTestObject(""Profile/Edit Profile/txt_title-phone-number-section-edit_profile""), 0)",,,,2023-09-08 12:48:30,2023-09-08 12:48:31,0.476s,PASSED
"verifyElementVisible(findTestObject(""Profile/Edit Profile/txt_title-address-section-edit_profile""), 0)",,,,2023-09-08 12:48:31,2023-09-08 12:48:31,0.302s,PASSED
"tap(findTestObject(""Profile/Edit Profile/btn_back-edit_profile""), 0)",,,,2023-09-08 12:48:31,2023-09-08 12:48:31,0.334s,PASSED
,,,,,,,
Test Cases/TC_Profile/TC3_Edit-Profile-Page,,,,2023-09-08 12:48:31,2023-09-08 12:49:15,44.001s,PASSED
"callTestCase(findTestCase(""TC_Profile/TC2_Access-Edit-Profile-Page""), [:], STOP_ON_FAILURE)",,,,2023-09-08 12:48:32,2023-09-08 12:48:54,22.073s,PASSED
"tap(findTestObject(""Profile/btn_edit-profile""), 0)",,,,2023-09-08 12:48:54,2023-09-08 12:48:56,1.526s,PASSED
"tap(findTestObject(""Profile/Edit Profile/btn_name-section-edit_profile""), 0)",,,,2023-09-08 12:48:56,2023-09-08 12:48:58,2.225s,PASSED
"verifyElementVisible(findTestObject(""Profile/Edit Profile/Section/Name/card_name-form-edit_profile""), 0)",,,,2023-09-08 12:48:58,2023-09-08 12:48:58,0.231s,PASSED
"verifyElementVisible(findTestObject(""Profile/Edit Profile/Section/Name/txt_title-card-name-edit_profile""), 0)",,,,2023-09-08 12:48:58,2023-09-08 12:48:58,0.231s,PASSED
"verifyElementVisible(findTestObject(""Profile/Edit Profile/Section/Name/btn_cancel-name-form-edit_profile""), 0)",,,,2023-09-08 12:48:58,2023-09-08 12:48:58,0.229s,PASSED
"verifyElementVisible(findTestObject(""Profile/Edit Profile/Section/Name/btn_ok-name-form-edit_profile""), 0)",,,,2023-09-08 12:48:58,2023-09-08 12:48:59,0.499s,PASSED
"setText(findTestObject(""Profile/Edit Profile/Section/Name/input_name-form-edit_profile""), name, 0)",,,,2023-09-08 12:48:59,2023-09-08 12:49:00,0.816s,PASSED
"tap(findTestObject(""Profile/Edit Profile/Section/Name/btn_ok-name-form-edit_profile""), 0)",,,,2023-09-08 12:49:00,2023-09-08 12:49:01,1.619s,PASSED
"tap(findTestObject(""Profile/Edit Profile/btn_email-section-edit_profile""), 0)",,,,2023-09-08 12:49:01,2023-09-08 12:49:03,1.172s,PASSED
"verifyElementVisible(findTestObject(""Profile/Edit Profile/Section/Email/card_email-form-edit_profile""), 0)",,,,2023-09-08 12:49:03,2023-09-08 12:49:03,0.291s,PASSED
"verifyElementVisible(findTestObject(""Profile/Edit Profile/Section/Email/txt_title-card-email-edit_profile""), 0)",,,,2023-09-08 12:49:03,2023-09-08 12:49:03,0.263s,PASSED
"verifyElementVisible(findTestObject(""Profile/Edit Profile/Section/Email/btn_cancel-email-form-edit_profile""), 0)",,,,2023-09-08 12:49:03,2023-09-08 12:49:04,0.512s,PASSED
"verifyElementVisible(findTestObject(""Profile/Edit Profile/Section/Email/btn_ok-email-form-edit_profile""), 0)",,,,2023-09-08 12:49:04,2023-09-08 12:49:04,0.244s,PASSED
"setText(findTestObject(""Profile/Edit Profile/Section/Email/input_email-form-edit_profile""), validEmail, 0)",,,,2023-09-08 12:49:04,2023-09-08 12:49:05,0.802s,PASSED
"tap(findTestObject(""Profile/Edit Profile/Section/Email/btn_ok-email-form-edit_profile""), 0)",,,,2023-09-08 12:49:05,2023-09-08 12:49:06,1.234s,PASSED
"tap(findTestObject(""Profile/Edit Profile/btn_phone-number-section-edit_profile""), 0)",,,,2023-09-08 12:49:06,2023-09-08 12:49:07,1.231s,PASSED
"verifyElementVisible(findTestObject(""Profile/Edit Profile/Section/Phone Number/card_pn-form-edit_profile""), 0)",,,,2023-09-08 12:49:07,2023-09-08 12:49:07,0.292s,PASSED
"verifyElementVisible(findTestObject(""Profile/Edit Profile/Section/Phone Number/txt_title-card-pn-edit_profile""), 0)",,,,2023-09-08 12:49:07,2023-09-08 12:49:08,0.307s,PASSED
"verifyElementVisible(findTestObject(""Profile/Edit Profile/Section/Phone Number/btn_cancel-pn-form-edit_profile""), 0)",,,,2023-09-08 12:49:08,2023-09-08 12:49:08,0.601s,PASSED
"verifyElementVisible(findTestObject(""Profile/Edit Profile/Section/Phone Number/btn_ok-pn-form-edit_profile""), 0)",,,,2023-09-08 12:49:08,2023-09-08 12:49:09,0.315s,PASSED
"setText(findTestObject(""Profile/Edit Profile/Section/Phone Number/input_pn-form-edit_profile""), phoneNumber, 0)",,,,2023-09-08 12:49:09,2023-09-08 12:49:09,0.806s,PASSED
"tap(findTestObject(""Profile/Edit Profile/Section/Phone Number/btn_ok-pn-form-edit_profile""), 0)",,,,2023-09-08 12:49:09,2023-09-08 12:49:11,1.211s,PASSED
"tap(findTestObject(""Profile/Edit Profile/btn_address-form-edit_profile""), 0)",,,,2023-09-08 12:49:11,2023-09-08 12:49:12,1.188s,PASSED
"verifyElementVisible(findTestObject(""Profile/Edit Profile/Section/Address/card_address-form-edit_profile""), 0)",,,,2023-09-08 12:49:12,2023-09-08 12:49:12,0.250s,PASSED
"verifyElementVisible(findTestObject(""Profile/Edit Profile/Section/Address/txt_title-card-address-edit_profile""), 0)",,,,2023-09-08 12:49:12,2023-09-08 12:49:12,0.192s,PASSED
"verifyElementVisible(findTestObject(""Profile/Edit Profile/Section/Address/btn_cancel-address-form-edit_profile""), 0)",,,,2023-09-08 12:49:12,2023-09-08 12:49:12,0.104s,PASSED
"verifyElementVisible(findTestObject(""Profile/Edit Profile/Section/Address/btn_ok-address-form-edit_profile""), 0)",,,,2023-09-08 12:49:12,2023-09-08 12:49:13,0.105s,PASSED
