Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS1_Profile,,,,2023-09-09 13:55:17,2023-09-09 13:57:02,1m - 45.043s,PASSED
,,,,,,,
Test Cases/TC_Profile/TC1_Access-Profile-Page,,,,2023-09-09 13:55:18,2023-09-09 13:55:54,36.476s,PASSED
"callTestCase(findTestCase(""Reusable-Test/TC0_Launch-Exist-App""), [:], STOP_ON_FAILURE)",,,,2023-09-09 13:55:18,2023-09-09 13:55:40,22.208s,PASSED
"verifyElementVisible(findTestObject(""Profile/icon_navbar-profile""), 0)",,,,2023-09-09 13:55:40,2023-09-09 13:55:46,5.319s,PASSED
"tap(findTestObject(""Profile/btn_profile-navbar""), 0)",,,,2023-09-09 13:55:46,2023-09-09 13:55:47,1.289s,PASSED
"extractedTitleProfile = getText(findTestObject(""Profile/txt_title-page_profile""), 0)",,Get displayed txt on the dialog,,2023-09-09 13:55:47,2023-09-09 13:55:47,0.401s,PASSED
"verifyEqual(extractedTitleProfile, ""Profile"")",,Verify if displayed txt is correct,,2023-09-09 13:55:47,2023-09-09 13:55:48,0.028s,PASSED
"verifyElementVisible(findTestObject(""Profile/btn_cart-profile""), 0)",,,,2023-09-09 13:55:48,2023-09-09 13:55:48,0.330s,PASSED
"verifyElementVisible(findTestObject(""Profile/txt_name-profile""), 0)",,,,2023-09-09 13:55:48,2023-09-09 13:55:48,0.307s,PASSED
"verifyElementVisible(findTestObject(""Profile/txt_email-profile""), 0)",,,,2023-09-09 13:55:48,2023-09-09 13:55:48,0.295s,PASSED
"verifyElementVisible(findTestObject(""Profile/txt_phone-number-profile""), 0)",,,,2023-09-09 13:55:48,2023-09-09 13:55:49,0.290s,PASSED
"verifyElementVisible(findTestObject(""Profile/txt_address-profile""), 0)",,,,2023-09-09 13:55:49,2023-09-09 13:55:49,0.288s,PASSED
"verifyElementVisible(findTestObject(""Profile/btn_edit-profile""), 0)",,,,2023-09-09 13:55:49,2023-09-09 13:55:49,0.352s,PASSED
"verifyElementVisible(findTestObject(""Profile/icon_order-history-profile""), 0)",,,,2023-09-09 13:55:49,2023-09-09 13:55:50,0.764s,PASSED
"verifyElementVisible(findTestObject(""Profile/txt_order-history-profile""), 0)",,,,2023-09-09 13:55:50,2023-09-09 13:55:51,0.363s,PASSED
"verifyElementVisible(findTestObject(""Profile/btn_order-history-profile""), 0)",,,,2023-09-09 13:55:51,2023-09-09 13:55:51,0.399s,PASSED
"verifyElementVisible(findTestObject(""Profile/icon_rate-us-profile""), 0)",,,,2023-09-09 13:55:51,2023-09-09 13:55:51,0.330s,PASSED
"verifyElementVisible(findTestObject(""Profile/txt_rate-us-profile""), 0)",,,,2023-09-09 13:55:51,2023-09-09 13:55:52,0.354s,PASSED
"verifyElementVisible(findTestObject(""Profile/btn_rate-us-profile""), 0)",,,,2023-09-09 13:55:52,2023-09-09 13:55:52,0.304s,PASSED
"verifyElementVisible(findTestObject(""Profile/icon_share-profile""), 0)",,,,2023-09-09 13:55:52,2023-09-09 13:55:52,0.360s,PASSED
"verifyElementVisible(findTestObject(""Profile/txt_share-profile""), 0)",,,,2023-09-09 13:55:52,2023-09-09 13:55:53,0.325s,PASSED
"verifyElementVisible(findTestObject(""Profile/btn_share-profile""), 0)",,,,2023-09-09 13:55:53,2023-09-09 13:55:53,0.420s,PASSED
"verifyElementVisible(findTestObject(""Profile/icon_privacy-policy-profile""), 0)",,,,2023-09-09 13:55:53,2023-09-09 13:55:53,0.476s,PASSED
"verifyElementVisible(findTestObject(""Profile/txt_privacy-policy-profile""), 0)",,,,2023-09-09 13:55:53,2023-09-09 13:55:54,0.374s,PASSED
"verifyElementVisible(findTestObject(""Profile/btn_privacy-policy-profile""), 0)",,,,2023-09-09 13:55:54,2023-09-09 13:55:54,0.303s,PASSED
,,,,,,,
Test Cases/TC_Profile/TC2_Access-Edit-Profile-Page,,,,2023-09-09 13:55:54,2023-09-09 13:56:19,24.518s,PASSED
"callTestCase(findTestCase(""TC_Profile/TC1_Access-Profile-Page""), [:], STOP_ON_FAILURE)",,,,2023-09-09 13:55:55,2023-09-09 13:56:15,20.519s,PASSED
"tap(findTestObject(""Profile/btn_edit-profile""), 0)",,,,2023-09-09 13:56:15,2023-09-09 13:56:16,0.355s,PASSED
