Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS3_Category,,,,2023-09-09 13:53:22,2023-09-09 13:54:44,1m - 21.921s,PASSED
,,,,,,,
Test Cases/TC_Category/TC1_Access-Category-Page,,,,2023-09-09 13:53:22,2023-09-09 13:53:47,24.982s,PASSED
"callTestCase(findTestCase(""Reusable-Test/TC0_Launch-Exist-App""), [:], STOP_ON_FAILURE)",,,,2023-09-09 13:53:23,2023-09-09 13:53:35,12.290s,PASSED
"verifyElementVisible(findTestObject(""Category/btn_category-navbar""), 0)",,,,2023-09-09 13:53:35,2023-09-09 13:53:40,4.823s,PASSED
"tap(findTestObject(""Category/btn_category-navbar""), 0)",,,,2023-09-09 13:53:40,2023-09-09 13:53:42,1.984s,PASSED
"verifyElementVisible(findTestObject(""Category/txt_title-category-catgory""), 0)",,,,2023-09-09 13:53:42,2023-09-09 13:53:42,0.305s,PASSED
"verifyElementVisible(findTestObject(""Category/btn_search-category""), 0)",,,,2023-09-09 13:53:42,2023-09-09 13:53:42,0.215s,PASSED
"verifyElementVisible(findTestObject(""Category/btn_cart-category""), 0)",,,,2023-09-09 13:53:42,2023-09-09 13:53:43,0.268s,PASSED
"verifyElementVisible(findTestObject(""Category/icon_eg-category""), 0)",,,,2023-09-09 13:53:43,2023-09-09 13:53:43,0.264s,PASSED
"verifyElementVisible(findTestObject(""Category/txt_eg-category""), 0)",,,,2023-09-09 13:53:43,2023-09-09 13:53:43,0.343s,PASSED
"verifyElementVisible(findTestObject(""Category/txt_eg-items-category""), 0)",,,,2023-09-09 13:53:43,2023-09-09 13:53:43,0.279s,PASSED
"verifyElementVisible(findTestObject(""Category/icon_fashions-category""), 0)",,,,2023-09-09 13:53:43,2023-09-09 13:53:44,0.292s,PASSED
"verifyElementVisible(findTestObject(""Category/txt_fashions-category""), 0)",,,,2023-09-09 13:53:44,2023-09-09 13:53:44,0.257s,PASSED
"verifyElementVisible(findTestObject(""Category/txt_fashion-items-category""), 0)",,,,2023-09-09 13:53:44,2023-09-09 13:53:44,0.256s,PASSED
"verifyElementVisible(findTestObject(""Category/icon_baby-gear-category""), 0)",,,,2023-09-09 13:53:44,2023-09-09 13:53:45,0.281s,PASSED
"verifyElementVisible(findTestObject(""Category/txt_baby-gear-category""), 0)",,,,2023-09-09 13:53:45,2023-09-09 13:53:45,0.249s,PASSED
"verifyElementVisible(findTestObject(""Category/txt_baby-gear-items-category""), 0)",,,,2023-09-09 13:53:45,2023-09-09 13:53:45,0.248s,PASSED
"verifyElementVisible(findTestObject(""Category/icon_hf-category""), 0)",,,,2023-09-09 13:53:45,2023-09-09 13:53:45,0.252s,PASSED
"verifyElementVisible(findTestObject(""Category/txt_hf-category""), 0)",,,,2023-09-09 13:53:45,2023-09-09 13:53:46,0.259s,PASSED
"verifyElementVisible(findTestObject(""Category/txt_hf-items-category""), 0)",,,,2023-09-09 13:53:46,2023-09-09 13:53:46,0.219s,PASSED
"verifyElementVisible(findTestObject(""Category/icon_hs-category""), 0)",,,,2023-09-09 13:53:46,2023-09-09 13:53:46,0.252s,PASSED
"verifyElementVisible(findTestObject(""Category/txt_hs-category""), 0)",,,,2023-09-09 13:53:46,2023-09-09 13:53:46,0.325s,PASSED
"verifyElementVisible(findTestObject(""Category/txt_hf-items-category""), 0)",,,,2023-09-09 13:53:46,2023-09-09 13:53:47,0.267s,PASSED
"verifyElementVisible(findTestObject(""Category/icon_oi-category""), 0)",,,,2023-09-09 13:53:47,2023-09-09 13:53:47,0.248s,PASSED
"verifyElementVisible(findTestObject(""Category/txt_oi-category""), 0)",,,,2023-09-09 13:53:47,2023-09-09 13:53:47,0.237s,PASSED
"verifyElementVisible(findTestObject(""Category/txt_oi-items-category""), 0)",,,,2023-09-09 13:53:47,2023-09-09 13:53:47,0.250s,PASSED
,,,,,,,
Test Cases/TC_Category/TC2_Order-Search-Product-From-Category,,,,2023-09-09 13:53:47,2023-09-09 13:54:44,56.693s,PASSED
"callTestCase(findTestCase(""TC_Category/TC1_Access-Category-Page""), [:], STOP_ON_FAILURE)",,,,2023-09-09 13:53:48,2023-09-09 13:54:05,16.860s,PASSED
"tap(findTestObject(""Category/btn_fashions-category""), 0)",,,,2023-09-09 13:54:05,2023-09-09 13:54:07,1.935s,PASSED
"tap(findTestObject(""Category/Fashions/btn_product-man-batik-category_fashion""), 0)",,,,2023-09-09 13:54:07,2023-09-09 13:54:07,0.261s,PASSED
"verifyElementVisible(findTestObject(""Category/Fashions/txt_product-title-men-batik-category_fashion""), 0)",,,,2023-09-09 13:54:07,2023-09-09 13:54:07,0.353s,PASSED
"verifyElementVisible(findTestObject(""Category/Fashions/txt_product-count-28itemsmen-batik-category_fashion""), 0)",,,,2023-09-09 13:54:07,2023-09-09 13:54:09,1.683s,PASSED
"verifyElementVisible(findTestObject(""Category/Fashions/btn_add-to-cart-men-batik-category_fashion""), 0)",,,,2023-09-09 13:54:09,2023-09-09 13:54:09,0.204s,PASSED
"tap(findTestObject(""Category/Fashions/btn_add-to-cart-men-batik-category_fashion""), 0)",,,,2023-09-09 13:54:09,2023-09-09 13:54:10,0.281s,PASSED
"verifyElementVisible(findTestObject(""Category/Fashions/card_product-men-batik-category_fashion""), 0)",,,,2023-09-09 13:54:10,2023-09-09 13:54:11,1.080s,PASSED
"verifyElementVisible(findTestObject(""Category/Fashions/txt_product-order-men-batik-category_fashion""), 0)",,,,2023-09-09 13:54:11,2023-09-09 13:54:11,0.247s,PASSED
"verifyElementVisible(findTestObject(""Category/Fashions/btn_cancel-product-men-batik-category_fashion""), 0)",,,,2023-09-09 13:54:11,2023-09-09 13:54:11,0.201s,PASSED
"verifyElementVisible(findTestObject(""Category/Fashions/btn_add-product-men-batik-category_fashion""), 0)",,,,2023-09-09 13:54:11,2023-09-09 13:54:11,0.172s,PASSED
"setText(findTestObject(""Category/Fashions/input_product-men-batik-category_fashion""), ""10"", 5)",,,,2023-09-09 13:54:11,2023-09-09 13:54:12,0.817s,PASSED
