Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS2_Cart,,,,2023-09-09 13:51:51,2023-09-09 13:52:59,1m - 7.157s,PASSED
,,,,,,,
Test Cases/TC_Cart/TC1_Access-Empty-Cart,,,,2023-09-09 13:51:52,2023-09-09 13:52:12,20.656s,PASSED
"callTestCase(findTestCase(""Reusable-Test/TC0_Launch-Exist-App""), [:], STOP_ON_FAILURE)",,,,2023-09-09 13:51:52,2023-09-09 13:52:07,14.568s,PASSED
"tap(findTestObject(""Cart/btn_cart_home""), 0)",,,,2023-09-09 13:52:07,2023-09-09 13:52:10,3.442s,PASSED
"verifyElementExist(findTestObject(""Cart/Empty Cart/txt_empty-cart_cart""), 10)",,,,2023-09-09 13:52:10,2023-09-09 13:52:11,0.926s,PASSED
"verifyElementExist(findTestObject(""Cart/Empty Cart/icon_shopping-bag_cart""), 10)",,,,2023-09-09 13:52:11,2023-09-09 13:52:11,0.277s,PASSED
"extractedContinueShopping = getText(findTestObject(""Cart/Empty Cart/btn_continue-shopping_cart""), 0)",,,,2023-09-09 13:52:11,2023-09-09 13:52:12,0.274s,PASSED
"verifyEqual(extractedContinueShopping, ""CONTINUE SHOPPING"")",,,,2023-09-09 13:52:12,2023-09-09 13:52:12,0.026s,PASSED
"verifyElementExist(findTestObject(""Cart/Empty Cart/btn_continue-shopping_cart""), 10)",,,,2023-09-09 13:52:12,2023-09-09 13:52:12,0.225s,PASSED
"tap(findTestObject(""Cart/btn_continue-shopping_cart""), 0)",,,,2023-09-09 13:52:12,2023-09-09 13:52:12,0.573s,PASSED
,,,,,,,
Test Cases/TC_Cart/TC2_Order-Product,,,,2023-09-09 13:52:12,2023-09-09 13:52:59,46.250s,PASSED
"callTestCase(findTestCase(""TC_Cart/TC1_Access-Empty-Cart""), [:], STOP_ON_FAILURE)",,,,2023-09-09 13:52:13,2023-09-09 13:52:24,10.966s,PASSED
"tap(findTestObject(""Home Shopping/btn_samsung-galaxy_home-shopping""), 0)",,,,2023-09-09 13:52:24,2023-09-09 13:52:27,3.231s,PASSED
"verifyElementVisible(findTestObject(""Home Shopping/Samsung Galaxy S10/txt_product-title-samsung-s10_home-shopping""), 0)",,,,2023-09-09 13:52:27,2023-09-09 13:52:27,0.296s,PASSED
"verifyElementVisible(findTestObject(""Home Shopping/Samsung Galaxy S10/txt_product-price-samsung-899usd-cart""), 0)",,,,2023-09-09 13:52:27,2023-09-09 13:52:28,0.180s,PASSED
"verifyElementVisible(findTestObject(""Home Shopping/Samsung Galaxy S10/txt_product-stock-samsung-5items-cart""), 0)",,,,2023-09-09 13:52:28,2023-09-09 13:52:28,0.771s,PASSED
"tap(findTestObject(""Home Shopping/Samsung Galaxy S10/btn_product-add-cart_home-shopping""), 0)",,,,2023-09-09 13:52:28,2023-09-09 13:52:29,0.298s,PASSED
"verifyElementVisible(findTestObject(""Home Shopping/Samsung Galaxy S10/card_product-order-samsung-s10-home_shopping""), 0)",,,,2023-09-09 13:52:29,2023-09-09 13:52:30,1.132s,PASSED
"setText(findTestObject(""Home Shopping/Samsung Galaxy S10/input_product-order-samsung-s10-home_shopping""), ""5"", 0)",,,,2023-09-09 13:52:30,2023-09-09 13:52:31,0.766s,PASSED
"tap(findTestObject(""Home Shopping/Samsung Galaxy S10/btn_product-add-order-samsung-s10_home-shopping""), 0)",,,,2023-09-09 13:52:31,2023-09-09 13:52:31,0.617s,PASSED
