Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS1_Profile,,,,2023-09-08 12:37:00,2023-09-08 12:38:45,1m - 45.352s,PASSED
,,,,,,,
Test Cases/TC_Profile/TC1_Access-Profile-Page,,,,2023-09-08 12:37:00,2023-09-08 12:37:36,36.297s,PASSED
"callTestCase(findTestCase(""Reusable-Test/TC0_Launch-Exist-App""), [:], STOP_ON_FAILURE)",,,,2023-09-08 12:37:01,2023-09-08 12:37:23,22.399s,PASSED
"verifyElementVisible(findTestObject(""Profile/icon_navbar-profile""), 0)",,,,2023-09-08 12:37:23,2023-09-08 12:37:27,4.473s,PASSED
"tap(findTestObject(""Profile/btn_profile-navbar""), 0)",,,,2023-09-08 12:37:27,2023-09-08 12:37:28,0.398s,PASSED
"extractedTitleProfile = getText(findTestObject(""Profile/txt_title-page_profile""), 0)",,Get displayed txt on the dialog,,2023-09-08 12:37:28,2023-09-08 12:37:29,1.295s,PASSED
"verifyEqual(extractedTitleProfile, ""Profile"")",,Verify if displayed txt is correct,,2023-09-08 12:37:29,2023-09-08 12:37:29,0.026s,PASSED
"verifyElementVisible(findTestObject(""Profile/btn_cart-profile""), 0)",,,,2023-09-08 12:37:29,2023-09-08 12:37:30,0.350s,PASSED
"verifyElementVisible(findTestObject(""Profile/txt_name-profile""), 0)",,,,2023-09-08 12:37:30,2023-09-08 12:37:30,0.354s,PASSED
"verifyElementVisible(findTestObject(""Profile/txt_email-profile""), 0)",,,,2023-09-08 12:37:30,2023-09-08 12:37:30,0.328s,PASSED
"verifyElementVisible(findTestObject(""Profile/txt_phone-number-profile""), 0)",,,,2023-09-08 12:37:30,2023-09-08 12:37:31,0.341s,PASSED
"verifyElementVisible(findTestObject(""Profile/txt_address-profile""), 0)",,,,2023-09-08 12:37:31,2023-09-08 12:37:31,0.343s,PASSED
"verifyElementVisible(findTestObject(""Profile/btn_edit-profile""), 0)",,,,2023-09-08 12:37:31,2023-09-08 12:37:31,0.381s,PASSED
"verifyElementVisible(findTestObject(""Profile/icon_order-history-profile""), 0)",,,,2023-09-08 12:37:31,2023-09-08 12:37:32,1.062s,PASSED
