Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS2_Cart,,,,2023-09-08 08:01:50,2023-09-08 08:03:30,1m - 39.425s,FAILED
,,,,,,,
Test Cases/TC_Cart/TC1_Access-Empty-Cart,,,,2023-09-08 08:01:51,2023-09-08 08:02:15,24.391s,FAILED
"callTestCase(findTestCase(""Reusable-Test/TC0_Launch-Exist-App""), [:], STOP_ON_FAILURE)",,,,2023-09-08 08:01:51,2023-09-08 08:02:04,12.718s,PASSED
"tap(findTestObject(""Cart/btn_cart_home""), 0)",,,,2023-09-08 08:02:04,2023-09-08 08:02:04,0.792s,PASSED
"verifyElementExist(findTestObject(""Cart/Empty Cart/txt_empty-cart_cart""), 10)",,,,2023-09-08 08:02:04,2023-09-08 08:02:15,10.539s,FAILED
,,,,,,,
Test Cases/TC_Cart/TC2_Order-Product,,,,2023-09-08 08:02:15,2023-09-08 08:02:52,37.320s,FAILED
"callTestCase(findTestCase(""TC_Cart/TC1_Access-Empty-Cart""), [:], STOP_ON_FAILURE)",,,,2023-09-08 08:02:15,2023-09-08 08:02:52,37.068s,FAILED
,,,,,,,
Test Cases/TC_Cart/TC3_Checkout-Product,,,,2023-09-08 08:02:52,2023-09-08 08:03:30,37.391s,FAILED
"callTestCase(findTestCase(""TC_Cart/TC2_Order-Product""), [:], STOP_ON_FAILURE)",,,,2023-09-08 08:02:52,2023-09-08 08:03:30,37.157s,FAILED
