Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS1_Profile,,,,2023-09-09 13:48:49,2023-09-09 13:50:15,1m - 26.571s,PASSED
,,,,,,,
Test Cases/TC_Profile/TC1_Access-Profile-Page,,,,2023-09-09 13:48:49,2023-09-09 13:49:20,31.367s,PASSED
"callTestCase(findTestCase(""Reusable-Test/TC0_Launch-Exist-App""), [:], STOP_ON_FAILURE)",,,,2023-09-09 13:48:49,2023-09-09 13:49:08,18.768s,PASSED
"verifyElementVisible(findTestObject(""Profile/icon_navbar-profile""), 0)",,,,2023-09-09 13:49:08,2023-09-09 13:49:13,4.931s,PASSED
"tap(findTestObject(""Profile/btn_profile-navbar""), 0)",,,,2023-09-09 13:49:13,2023-09-09 13:49:14,1.310s,PASSED
"extractedTitleProfile = getText(findTestObject(""Profile/txt_title-page_profile""), 0)",,Get displayed txt on the dialog,,2023-09-09 13:49:14,2023-09-09 13:49:15,0.792s,PASSED
"verifyEqual(extractedTitleProfile, ""Profile"")",,Verify if displayed txt is correct,,2023-09-09 13:49:15,2023-09-09 13:49:15,0.024s,PASSED
"verifyElementVisible(findTestObject(""Profile/btn_cart-profile""), 0)",,,,2023-09-09 13:49:15,2023-09-09 13:49:15,0.286s,PASSED
"verifyElementVisible(findTestObject(""Profile/txt_name-profile""), 0)",,,,2023-09-09 13:49:15,2023-09-09 13:49:16,0.275s,PASSED
"verifyElementVisible(findTestObject(""Profile/txt_email-profile""), 0)",,,,2023-09-09 13:49:16,2023-09-09 13:49:16,0.234s,PASSED
"verifyElementVisible(findTestObject(""Profile/txt_phone-number-profile""), 0)",,,,2023-09-09 13:49:16,2023-09-09 13:49:16,0.260s,PASSED
"verifyElementVisible(findTestObject(""Profile/txt_address-profile""), 0)",,,,2023-09-09 13:49:16,2023-09-09 13:49:16,0.277s,PASSED
"verifyElementVisible(findTestObject(""Profile/btn_edit-profile""), 0)",,,,2023-09-09 13:49:16,2023-09-09 13:49:17,0.281s,PASSED
"verifyElementVisible(findTestObject(""Profile/icon_order-history-profile""), 0)",,,,2023-09-09 13:49:17,2023-09-09 13:49:17,0.660s,PASSED
"verifyElementVisible(findTestObject(""Profile/txt_order-history-profile""), 0)",,,,2023-09-09 13:49:17,2023-09-09 13:49:18,0.248s,PASSED
"verifyElementVisible(findTestObject(""Profile/btn_order-history-profile""), 0)",,,,2023-09-09 13:49:18,2023-09-09 13:49:18,0.240s,PASSED
"verifyElementVisible(findTestObject(""Profile/icon_rate-us-profile""), 0)",,,,2023-09-09 13:49:18,2023-09-09 13:49:18,0.230s,PASSED
"verifyElementVisible(findTestObject(""Profile/txt_rate-us-profile""), 0)",,,,2023-09-09 13:49:18,2023-09-09 13:49:18,0.327s,PASSED
"verifyElementVisible(findTestObject(""Profile/btn_rate-us-profile""), 0)",,,,2023-09-09 13:49:18,2023-09-09 13:49:19,0.242s,PASSED
"verifyElementVisible(findTestObject(""Profile/icon_share-profile""), 0)",,,,2023-09-09 13:49:19,2023-09-09 13:49:19,0.318s,PASSED
"verifyElementVisible(findTestObject(""Profile/txt_share-profile""), 0)",,,,2023-09-09 13:49:19,2023-09-09 13:49:19,0.299s,PASSED
"verifyElementVisible(findTestObject(""Profile/btn_share-profile""), 0)",,,,2023-09-09 13:49:19,2023-09-09 13:49:19,0.261s,PASSED
"verifyElementVisible(findTestObject(""Profile/icon_privacy-policy-profile""), 0)",,,,2023-09-09 13:49:19,2023-09-09 13:49:20,0.282s,PASSED
"verifyElementVisible(findTestObject(""Profile/txt_privacy-policy-profile""), 0)",,,,2023-09-09 13:49:20,2023-09-09 13:49:20,0.273s,PASSED
"verifyElementVisible(findTestObject(""Profile/btn_privacy-policy-profile""), 0)",,,,2023-09-09 13:49:20,2023-09-09 13:49:20,0.233s,PASSED
,,,,,,,
Test Cases/TC_Profile/TC2_Access-Edit-Profile-Page,,,,2023-09-09 13:49:20,2023-09-09 13:49:39,18.287s,PASSED
"callTestCase(findTestCase(""TC_Profile/TC1_Access-Profile-Page""), [:], STOP_ON_FAILURE)",,,,2023-09-09 13:49:21,2023-09-09 13:49:35,14.553s,PASSED
"tap(findTestObject(""Profile/btn_edit-profile""), 0)",,,,2023-09-09 13:49:35,2023-09-09 13:49:36,0.298s,PASSED
"extractedTitleUserProfile = getText(findTestObject(""Profile/Edit Profile/txt_title-user_profile-edit_profile""), 0)",,Get displayed txt on the dialog,,2023-09-09 13:49:36,2023-09-09 13:49:37,1.237s,PASSED
"verifyEqual(extractedTitleUserProfile, ""User Profile"")",,Verify if displayed txt is correct,,2023-09-09 13:49:37,2023-09-09 13:49:37,0.005s,PASSED
"verifyElementVisible(findTestObject(""Profile/Edit Profile/txt_title-form-edit_profile""), 0)",,,,2023-09-09 13:49:37,2023-09-09 13:49:37,0.238s,PASSED
"verifyElementVisible(findTestObject(""Profile/Edit Profile/txt_title-name-section-edit_profile""), 0)",,,,2023-09-09 13:49:37,2023-09-09 13:49:37,0.294s,PASSED
"verifyElementVisible(findTestObject(""Profile/Edit Profile/txt_title-email-section-edit_profile""), 0)",,,,2023-09-09 13:49:37,2023-09-09 13:49:38,0.256s,PASSED
